, Brand , Model Name , Screen Size , Colour , Hard Disk Size , CPU Model , RAM Memory Installed Size , Operating System , Special Feature , Graphics Card Description ,Price, Graphics Coprocessor , CPU Speed , Hard Disk Description , Item Weight , Connectivity Technology , Graphics Processor Manufacturer , Resolution , Total USB Ports , Processor Count , CPU Manufacturer , Human Interface Input , Form Factor 
48, Lenovo , ThinkPad , 14 Inches , Black , 500 GB , Ryzen 3 5300U , 4 GB , Windows ,, Integrated ,"₹14,781.00", Intel_integrated_graphics ,,,,,,,,,,,
49, Lenovo , Thinkpad X250 , 12.5 Inches , Black , 256 GB , Ryzen 3 5300U , 256 GB , Windows 10 Pro ,,,"₹15,543.00", Intel ,, SSD ,,,,,,,,,
50, ASUS , Vivobook 15 , 15.6 Inches , Transparent Silver , 512 GB , Celeron , 8 GB , Windows 11 Home , Fingerprint Reader , Integrated ,"₹30,990.00",,,,,,,,,,,,
51, Lenovo , ThinkPad , 14 Inches ,, 256 GB , Core i5 6200U , 8 GB , Windows 10 ," Webcam, Light Weight ", Integrated ,"₹16,497.00", Intel HD Graphics 520 ,,,,,,,,,,,
52, HP , G8 , 14 Inches , Black , 512 GB , Ryzen 3 3250U , 8 GB , DOS ," Light Weight, Thin ", Integrated ,"₹27,027.00",,,,,,,,,,,,
53, Lenovo , Lenovo V15 AMD , 15.6 Inches , Iron Grey , 512 GB , Ryzen 3 5300U , 8 GB , Windows 11 Home ," Anti Glare Screen, Light Weight, Thin ", Integrated ,"₹33,329.00",,,,,,,,,,,,
54, Dell , 5490-cr , 14 Inches , Black , 512 GB , Core i5 Family , 8 GB , Windows 10 Pro ," Anti Glare Screen, Thin ", Integrated ,"₹21,925.00",,,,,,,,,,,,
55, ASUS , Vivobook 16 (2023) , 16 Inches , Indie Black , 512 GB , Core i5 , 16 GB , Windows 11 Home ," Fingerprint Reader, Backlit Keyboard ", Integrated ,"₹64,990.00",,,,,,,,,,,,
56, Acer , Extensa , 15.6 Inches ,, 512 GB , Ryzen 3 , 8 GB , Windows 11 Home ," Webcam, Thin ", Integrated ,"₹33,990.00",, 2.4 GHz ,,,,,,,,,,
57, HP , 15s-fr4000TU , 39.6 Centimetres , Silver , 512 GB , Core i5 , 8 GB , Windows 11 Home ," Backlit Keyboard, Anti Glare Coating, Numeric Keypad, Memory Card Slot, Multi-touch Gesture ", Integrated ,"₹52,490.00",,,,,,,,,,,,
58, Acer , Acer One 14 Z2-493 , 14 Inches , Rose Gold ,, Ryzen 3 3250U , 8 GB , Windows 11 Home , Webcam , Integrated ,"₹28,990.00", AMD Radeon Graphics ,,,,,,,,,,,
59, Dell , 3380-cr , 13.3 Inches , Grey , 256 GB , Core i5 Family , 8 GB , Windows 10 Pro , Thin , Integrated ,"₹17,499.00",,,,,,,,,,,,
60, ASUS , Vivobook 16X , 40.64 Centimetres , Transparent Silver , 512 GB , Ryzen 7 , 16 GB , Windows 11 Home ,"  FingerPrint, Backlit Keyboard, With Alexa voice-recognition support, FHD+ (1920 x 1200, WUXGA) 16:10 aspect ratio, Anti Glare Coating  See more  ", Integrated ,"₹58,990.00",,,,,,,,,,,,
61, HP , 15s-eq1559AU , 39.6 Centimetres , Jet Black , 512 GB , Athlon , 8 GB , Windows 11 Home ," HD, Micro-Edge Display ", Integrated ,"₹32,999.00",,,,,,,,,,,,
62, Acer , Acer one 14 , 14 Inches , Silver ,, Core i5 , 8 GB , Windows 11 Home ," Anti Glare Screen, Webcam, Memory Card Slot ", Integrated ,"₹44,990.00", Intel Iris Xe Graphics ,,,,,,,,,,,
63, Lenovo , Ideapad Slim 3 15ITL05 , 15.6 Inches , Platinum Grey ,, Core i3 , 8 GB , Windows 11 Home , Anti Glare Coating , Integrated ,"₹39,490.00", Intel UHD Graphics ,,,,,,,,,,,
64, Dell , Dell Latitude-cr , 14 Inches ,, 512 GB , Intel Core i5 , 16 GB , Windows 11 ," Webcam, Light Weight, Thin ", Integrated ,"₹28,998.00", Intel UHD Graphics ,,,,,,,,,,,
65, Lenovo , E41-45 , 14 Inches ,, 1 TB , Athlon , 8 GB , DOS ," Light Weight, Thin ", Integrated ,"₹21,790.00", AMD Radeon Vega 8 ,,,,,,,,,,,
66, HP ,, 14 Inches ,, 256 GB , Celeron , 256 GB ," Windows 8, Windows 7, Windows, Windows 11 Home, Mac OS, Windows 10 "," Portable, Light Weight, Micro-Edge Display, Thin ",,"₹27,739.00",,, Solid State Hard Drive ,," Bluetooth, Wi-Fi, USB, HDMI ", Intel ,,,,,,
67, HP , HP Chromebook , 13.3 Inches ,, 32 GB , Core M Family , 8 GB , Chrome OS ," Webcam, Thin ", Integrated ,"₹14,899.00", Intel HD Graphics 515 ,,,,,,,,,,,
68, ASUS , Vivobook 16X , 16 Inches , Transparent Silver , 512 GB , AMD Ryzen 7 , 16 GB , Windows 11 Home ," Fingerprint Reader, Backlit Keyboard ", Integrated ,"₹58,990.00",,,,,,,,,,,,
69, HP , 15s-fr2511TU , 15.6 Inches , Natural Silver , 512 GB , Core i3 , 8 GB , Windows 11 Home , Micro-Edge Display , Integrated ,"₹40,399.00",,,,,,,,,,,,
70, Lenovo , IdeaPad D330-10IGL , 10.1 Inches , Mineral GrEY , 128 GB , Celeron N4020 , 4 GB , Windows 10 Home , Anti Glare Screen , Integrated ,"₹17,990.00",,,,,,,,,,,,
71, HP , HP Laptop 15s-eq2144AU , 15.6 Inches , Natural Silver , 512 GB , AMD Ryzen 5 5500U , 8 GB , Windows 11 ," Micro Edge, Anti Glare, Dual Speakers, Built in Alexa, Multi Touch Gesture, Lightweight ", Integrated ,"₹44,490.00",,,,,,,,,,,,
