,Brand,Price,Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,MS Office Provided,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Clock Speed,Graphic Processor,Operating System,USB Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Keyboard,Backlit Keyboard,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty
477,ASUS Vivobook Go 15 OLED (2023) Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK321WS Thin and Light Laptop Rs.61990  Price in India - Buy ASUS Vivobook Go 15 OLED (2023) Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK321WS Thin and Light Laptop Cool Silver Online - ASUS : Flipkart.com,41990,"Laptop, battery, power adapter, user guide",E1504FA-LK321WS,90NB0ZR1-M00J10,E1504FA-LK321WS,Vivobook Go 15 OLED (2023),Cool Silver,Thin and Light Laptop,Processing & Multitasking,Yes,AMD,Ryzen 3 Quad Core,Yes,512 GB,8 GB,LPDDR5,7320U,2.4 GHz upto max turbo frequency at 4.1 Ghz,AMD Radeon AMD,Windows 11 Home,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, OLED 16:9 aspect ratio, 0.2ms response time, 60Hz refresh rate, 400nits, 600nits HDR peak brightness, 100% DCI-P3 color gamut, VESA CERTIFIED Display HDR True Black 500, 1.07 billion colors,,PANTONE Validated,,Glossy display, 70% less harmful blue light",Built-in Speakers,Yes,Wi-Fi 6E(802.11ax) (Dual band) 1*1,v5.0,360.3 x 232.5 x 17.9 mm,1.63 Kg,Not Available,720p HD camera With privacy shutter,Backlit Chiclet Keyboard,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
478,Acer Swift 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home) SF314-43 Thin and Light Laptop Rs.89999  Price in India - Buy Acer Swift 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home) SF314-43 Thin and Light Laptop Pure Silver Online - Acer : Flipkart.com,55990,"Laptop, Power Adaptor, User Guide, Warranty Documents",SF314-43,NX.AB1SI.001,Swift 3,Swift 3,Pure Silver,Thin and Light Laptop,"Entertainment, Everyday Use, Performance, Processing & Multitasking, Travel & Business",Yes,AMD,Ryzen 5 Hexa Core,Yes,512 GB,8 GB,LPDDR4X,5500U,Max Turbo Boost Frequency Up to 4.0 GHz,AMD Radeon 5500U,Windows 10 Home,"1 x USB Type-C port with DC-in, 1 x USB 3.2 Gen 1 port with power-off charging , 1 x USB 2.0 port",No,35.56 cm (14 inch),1920 x 1080 Pixel,"Full HD IPS1 high-brightness (300nits) Acer ComfyView LED-backlit TFT LCD, 16:9 aspect ratio, 100% sRGB color gamut",Built-in Dual Speakers,internal_mic Built-in Dual Microphone,802.11a/b/g/n+ax wireless LAN,v5.2,322.8 x 212.2 x 15.95 mm,1.2 kg,Not Available,720p HD Webcam,83-/84-/87-key full-size FineTip backlit keyboard with international language support,Yes,1 Year International Travelers Warranty (ITW),Onsite,Manufacturing Defects,Physical Damage
479,Lenovo IdeaPad Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home) IdeaPad 5 15ALC05 Thin and Light Laptop Rs.78290  Price in India - Buy Lenovo IdeaPad Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home) IdeaPad 5 15ALC05 Thin and Light Laptop Graphite Grey Online - Lenovo : Flipkart.com,50990,"Laptop, Power Adaptor, User Guide, Warranty Documents",IdeaPad 5 15ALC05,82LN00R9IN,,IdeaPad,Graphite Grey,Thin and Light Laptop,Processing & Multitasking,Yes,AMD,Ryzen 5 Hexa Core,Yes,512 GB,8 GB,DDR4,5500U,2.1 GHz with Turbo Boost Upto 4 GHz,AMD Radeon Radeon,Windows 10 Home,"1 x USB 3.2 Gen 1, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1",No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD (IPS 300nits Anti-glare, 45% NTSC)",Built-in Stereo Speakers,Built-in array microphone,"11ax, 2x2",v5.0,356.67 x 233.13 x 17.9 mm,1.66 kg,Not Available,720p with Privacy Shutter,"Backlit, English",Yes,1 Year Onsite�Warranty�+ 1 Year Accidental Damage Protection + 1 Year premium Care,Onsite,"(1) Manufacturer’s warranty against faulty workmanship or defective parts; (2) ADP-Single repair once in year against all Liquid spills, unintentional bump and drops, electric surge, cracks on screen; (3) Premium Care- 24x7 on call support, Software support in case of HDD failure","(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty; (3) Premium Care & ADP- Not covered in case of Theft, fire, rain, flood and part alteration"
480,ASUS Vivobook S 14 Intel EVO H-Series Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) S3402ZA-LY541WS Thin and Light Laptop Rs.86990  Price in India - Buy ASUS Vivobook S 14 Intel EVO H-Series Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) S3402ZA-LY541WS Thin and Light Laptop Neutral Grey Online - ASUS : Flipkart.com,59990,"Laptop, battery, power adapter, user guide",S3402ZA-LY541WS,90NB0WE1-M00P80,S3402ZA-LY541WS,Vivobook S 14 Intel EVO H-Series,Neutral Grey,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,Yes,512 GB,16 GB,DDR4,12500H,2.5 GHz with Max Turbo Boost Frequency Up to 4.50 GHz,Intel Integrated Iris Xe,Windows 11 Home,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-A, 2 x Thunderbolt 4 supports display / power delivery",No,35.56 cm (14 Inch),1920 x 1200 Pixel,"WUXGA, 16:10 aspect ratio, LED Backlit, IPS-level Panel, 60Hz refresh rate, 300nits, 45% NTSC color gamut, Anti-glare display",Built-in Speakers,Yes,Wi-Fi 6E(802.11ax) (Dual band) 2*2,v5.0,316.4 x 224.5 x 18.9 mm,1.50 Kg,Not Available,720p HD camera With privacy shutter,Backlit Chiclet Keyboard,Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
481,ASUS Vivobook Pro 15 Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) M6500QC-HN741WS Creator Laptop Rs.88990  Price in India - Buy ASUS Vivobook Pro 15 Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) M6500QC-HN741WS Creator Laptop Quiet Blue Online - ASUS : Flipkart.com,79990,"Laptop, battery, power adapter, user guide",M6500QC-HN741WS,90NB0YN1-M00AK0,K3405VCB-KM541WS,Vivobook Pro 15,Quiet Blue,Creator Laptop,Gaming,Yes,AMD,Ryzen 7 Octa Core,Yes,512 GB,16 GB,DDR4,5800H,3.2GHz upto max turbo frequency at 4.4 GHz,NVIDIA GeForce RTX 3050,Windows 11 Home,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 2 Type-C support display / power delivery, 2 x USB 2.0 Type-A",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, 16:9 aspect ratio, LED Backlit, IPS-level Panel, 144Hz refresh rate, 250nits, 45% NTSC color gamut, Glossy display",Built-in Speakers,Yes,Wi-Fi 6(802.11ax) (Dual band) 2*2,v5.0,,1.8 Kg,Not Available,1080p FHD camera With privacy shutter,Backlit Chiclet Keyboard,Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
482,ASUS Vivobook Go 15 OLED (2023) Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK321WS Thin and Light Laptop Rs.61990  Price in India - Buy ASUS Vivobook Go 15 OLED (2023) Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK321WS Thin and Light Laptop Cool Silver Online - ASUS : Flipkart.com,41990,"Laptop, battery, power adapter, user guide",E1504FA-LK321WS,90NB0ZR1-M00J10,E1504FA-LK321WS,Vivobook Go 15 OLED (2023),Cool Silver,Thin and Light Laptop,Processing & Multitasking,Yes,AMD,Ryzen 3 Quad Core,Yes,512 GB,8 GB,LPDDR5,7320U,2.4 GHz upto max turbo frequency at 4.1 Ghz,AMD Radeon AMD,Windows 11 Home,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, OLED 16:9 aspect ratio, 0.2ms response time, 60Hz refresh rate, 400nits, 600nits HDR peak brightness, 100% DCI-P3 color gamut, VESA CERTIFIED Display HDR True Black 500, 1.07 billion colors,,PANTONE Validated,,Glossy display, 70% less harmful blue light",Built-in Speakers,Yes,Wi-Fi 6E(802.11ax) (Dual band) 1*1,v5.0,360.3 x 232.5 x 17.9 mm,1.63 Kg,Not Available,720p HD camera With privacy shutter,Backlit Chiclet Keyboard,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
483,DELL Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and Light Laptop Rs.72180  Price in India - Buy DELL Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and Light Laptop Carbon Black Online - DELL : Flipkart.com,54990,"Laptop, battery, adapter, cables and user manuals",New Inspiron 15 Laptop,D560871WIN9B/D560865WIN9B,Inspiron 3520,,Carbon Black,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,Yes,512 GB,8 GB,DDR4,1235U,"Base Frequency 3.30 GHz, Max Turbo Boost Frequency Up to 4.40 GHz",Intel Integrated UHD,Windows 11 Home,"2 x USB 3.2 Gen 1 ports, 1 x USB 2.0 port",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD WVA AG 120Hz 250 nits Narrow Border,Built-in Speakers,,Intel Wi-Fi 6 2x2 (Gig+),v5.2,358 X 235 x 21.0 mm,1.65 Kg,Not Available,HD Camera,Standard Keyboard,,1 Year Onsite Hardware Service,Onsite,Manufacturing Defects,Accidental Damage
484,ASUS Zenbook 14 OLED (2023) Touchscreen Intel EVO P-Series Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) UX3402VA-KN541WS Thin and Light Laptop Rs.145000  Price in India - Buy ASUS Zenbook 14 OLED (2023) Touchscreen Intel EVO P-Series Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) UX3402VA-KN541WS Thin and Light Laptop Ponder Blue Online - ASUS : Flipkart.com,102219,"Laptop, Power Adaptor, User Guide, Warranty Documents",UX3402VA-KN541WS,90NB10G3-M005N0,UX3402VA-KN541WS,Zenbook 14 OLED (2023) Touchscreen Intel EVO P-Series,Ponder Blue,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,Yes,512 GB,16 GB,LPDDR5,1340P,Upto 4.60GHz,Intel Integrated Integrated,Windows 11 Home,"1 x USB 3.2 Gen 2 Type-A, 2 x Thunderbolt 4 supports display / power delivery",Yes,35.56 cm (14 Inch),2880 x 1800 Pixel,"OLED, 16:10 aspect ratio, 0.2ms response time, 90Hz refresh rate, 400nits, 550nits HDR peak brightness, 100% DCI-P3 color gamut, Gamut Mapping: Yes, Contrast Rato: 1,000,000:1, VESA CERTIFIED Display HDR True Black 500, 1.07 billion colors, PANTONE Validated, Glossy display, 70% less harmful blue light, SGS Eye Care Display",Built-in Speakers,Built-in Array Digital Microphones,Wi-Fi 6E(802.11ax) (Dual band) 2 x 2,v5.0,313.6 x 220.6 x 16.9 ~16.9,1.39 kg,Not Available,1080p FHD camera,Backlit Chiclet Keyboard,Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
485,Infinix X1 Slim Series Core i7 10th Gen - (16 GB/512 GB SSD/Windows 11 Home) XL21 Thin and Light Laptop Rs.69999  Price in India - Buy Infinix X1 Slim Series Core i7 10th Gen - (16 GB/512 GB SSD/Windows 11 Home) XL21 Thin and Light Laptop Cosmic Blue Online - Infinix : Flipkart.com,54990,"Laptop, Power Adaptor, User Guide, Warranty Documents",XL21,71008300235,XL21,X1 Slim Series,Cosmic Blue,Thin and Light Laptop,"Entertainment, Everyday Use, Performance, Processing & Multitasking, Travel & Business",No,Intel,Core i7,Yes,512 GB,16 GB,LPDDR4X,1065G7,1.3 GHz with Max Turbo Boost Frequency Up to 3.9 GHz,Intel Integrated UHD Graphics,Windows 11 Home,2 x USB 3.0,No,35.56 cm (14 Inch),1920 x 1080 Pixel,"Full HD IPS Display ( 300nits peak brightness, 100% sRGB, NTSC 72%)",Built-in Dual Speakers,Built-in Dual Array Digital Microphones,,v5.1,323.3 x 14.8 x 211.1 mm,1.24 kg,Not Available,HD Webcam,Backlit Keyboard,Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
486,ASUS TUF Dash F15 Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) FX517ZC-HN108WS Gaming Laptop Rs.128990  Price in India - Buy ASUS TUF Dash F15 Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) FX517ZC-HN108WS Gaming Laptop Off Black Online - ASUS : Flipkart.com,101990,"Laptop, Power Adaptor, User Guide, Warranty Documents",FX517ZC-HN108WS,90NR09L3-M00740,FX517ZC-HN108WS,TUF Dash F15,Off Black,Gaming Laptop,Gaming,Yes,Intel,Core i7,Yes,1 TB,16 GB,DDR5,12650H,Base 2.3 GHz to 4.7 GHz,NVIDIA GeForce RTX 3050,Windows 11 Home,"1x Thunderbolt 4 support DisplayPort, 1x USB 3.2 Gen 2 Type-C support DisplayPort/power delivery/G, 2x USB 3.2 Gen 1 Type-A",No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"FHD, Backlit LCD, Value IPS-level, (Brightness 250 nits, NTSC 45%, SRGB 62.5%)",Dual Speakers,Built-in array microphone,Wi-Fi 6(802.11ax) (Dual band) 2x2,v5.1,354 x 207 x 25.1 mm,2 Kg,Not Available,720P HD camera,Backlit Chiclet Keyboard Single Light,Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
487,HP G Series Core i3 10th Gen - (4 GB/512 GB SSD/Windows 10 Home) 250 G8 Thin and Light Laptop Rs.44072  Price in India - Buy HP G Series Core i3 10th Gen - (4 GB/512 GB SSD/Windows 10 Home) 250 G8 Thin and Light Laptop Dark Ash Silver Online - HP : Flipkart.com,39990,"Laptop, Power Adaptor, Charger and User Manual",250 G8,3D4T7PA#ACJ,250 G8,G Series,Dark Ash Silver,Thin and Light Laptop,Processing & Multitasking,No,Intel,Core i3,Yes,512 GB,4 GB,DDR4,1005G1,1.2 GHz with Turbo Boost Upto 3.4 GHz,Intel Integrated UHD,Windows 10 Home,"1 x SuperSpeed USB Type C (5 Gbps Signaling Rate), 2 x SuperSpeed USB Type A (5 Gbps Signaling Rate)",No,39.62 cm (15.6 inch),1920x1080 Pixel,"Full HD LED Backlit, Narrow Bezel Anti-Glare Display (250 nits Brightness, 45% NTSC Color Gamut)",Built in Stereo Speakers,Integrated Digital Microphone,Intel Wi-Fi 6 AX200 802.11ax(2x2),v5.0,358 x 242 x 19.9,1.74 KG,Not Available,720p HD Webcam,Full-Size English Keyboard with Numeric Keypad,No,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
488,ASUS Vivobook 15X (2023) Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) K3504VAB-NJ541WS Thin and Light Laptop Rs.80990  Price in India - Buy ASUS Vivobook 15X (2023) Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) K3504VAB-NJ541WS Thin and Light Laptop Indie Black Online - ASUS : Flipkart.com,59990,"Laptop, battery, power adapter, user guide",K3504VAB-NJ541WS,90NB10A1-M007Z0,K3504VAB-NJ541WS,Vivobook 15X (2023),Indie Black,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,Yes,512 GB,16 GB,DDR4,1315U,Max Turbo Frequency up to 4.5 GHz,Intel Integrated Iris Xe,Windows 11 Home,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C support power delivery, 2 x USB 3.2 Gen 1 Type-A",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display",Built-in Speakers,Yes,Wi-Fi 6E(802.11ax) (Dual band) 1*1,v5.0,359.7 x 232.5 x 17.9 mm,1.60 Kg,Not Available,720p HD camera With privacy shutter,Backlit Chiclet Keyboard with Num-key,Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
489,ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1500EA-EJ3381WS Laptop Rs.51990  Price in India - Buy ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1500EA-EJ3381WS Laptop Indie Black Online - ASUS : Flipkart.com,35990,"Laptop, Adaptor & Manual",X1500EA-EJ3381WS,90NB0TY5-M03EN0,X1500EA,Vivobook 15,Indie Black,Laptop,"Everyday Use, Processing & Multitasking, Performance",Yes,Intel,Core i3,Yes,512 GB,8 GB,DDR4,i3-1115G4,3.0 Ghz. Turbo Upto 4.1 Ghz.,Intel Integrated UHD,Windows 11 Home,"1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A",No,39.62 cm (15.6 inch),1920 x 1080 pixel,"(39.62cm)15.6-inch, FHD (1920 x 1080) 16:9, LED Backlit, 60Hz refresh rate, 250nits, NTSC: 45%, Anti-glare display, (Screen-to-body ratio)83%",Built-in speaker Built-in microphone with Cortana support,Yes,Wi-Fi 5(802.11ac) (Dual band) 1*1 + Bluetooth 4.1,5,36.00 x 23.50 x 1.99 ~ 1.99 cm,1.8 kg,Not Available,VGA,"Chiclet Keyboard with Num-key, 1.4mm Key-travel",,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Any Type of Damage
490,HP Omen Ryzen 7 Ryzen 7 Octa Core 6800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti) 16-n0049AX Gaming Laptop Rs.127036  Price in India - Buy HP Omen Ryzen 7 Ryzen 7 Octa Core 6800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti) 16-n0049AX Gaming Laptop Mica Silver Online - HP : Flipkart.com,104990,"Laptop, Power Adaptor, User Guide, Warranty Documents",16-n0049AX,6H4N5PA#ACJ,16-n0049AX,Omen Ryzen 7,Mica Silver,Gaming Laptop,Gaming,Yes,AMD,Ryzen 7 Octa Core,Yes,512 GB,16 GB,DDR5,6800H,3.2 GHz with Max Turbo Boost Frequency Up to 4.7 GHz,NVIDIA GeForce RTX 3050 Ti,Windows 11 Home,"2 x SuperSpeed USB Type-C 10Gbps signaling rate (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 1 x SuperSpeed USB Type-A 5Gbps signaling rate 2 x SuperSpeed USB Type-A 5Gbps signaling rate",No,40.89 cm (16.1 Inch),1920 x 1080 Pixel,"Full HD, 144 Hz, 7 ms response time, IPS, micro-edge, anti-glare, Brightness: 300 nits, 137 ppi, Color Gamut: 100% sRGB",,,MediaTek Wi-Fi 6E MT7922 (2x2),v5.2,369 x 245 x 22.5 mm,2.32 Kg,Not Available,HP Wide Vision 720p HD camera with temporal noise reduction,"Full-size, 4-zone RGB backlit, mica silver keyboard",Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
491,Lenovo V15 Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) V15 G3 IAP Thin and Light Laptop Rs.58187  Price in India - Buy Lenovo V15 Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) V15 G3 IAP Thin and Light Laptop Iron Grey Online - Lenovo : Flipkart.com,37990,"Laptop, User manual, Adapter",V15 G3 IAP,82TTA00VIH,V15 G3 IAP,V15,Iron Grey,Thin and Light Laptop,Processing & Multitasking,No,Intel,Core i3,Yes,512 GB,8 GB,DDR4,1215U,0.9 GHz upto max turbo frequency at 4.4 Ghz,Intel Integrated UHD,Windows 11 Home,"1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort 1.2)",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD Anti-glare Display,Built-in Speakers,Yes,"Wi-Fi 6, 802.11ax 2x2 Wi-Fi",v5.1,,1.7 Kg,Not Available,"HD 720p, with privacy shutter, fixed focus",,No,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
492,ASUS (2022) Celeron Dual Core - (4 GB/128 GB SSD/Windows 11 Home) BR1100CKA-GJ0722W Laptop Rs.30990  Price in India - Buy ASUS (2022) Celeron Dual Core - (4 GB/128 GB SSD/Windows 11 Home) BR1100CKA-GJ0722W Laptop Star Grey Online - ASUS : Flipkart.com,20990,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",BR1100CKA-GJ0722W,90NX03B1-M005B0,BR1100CKA-GJ0722W,(2022),Star Grey,Laptop,Processing & Multitasking,No,Intel,Celeron Dual Core,Yes,128 GB,4 GB,DDR4,N4500,2.8,Intel Integrated UHD Graphics,Windows 11 Home,"1x USB 2.0 Type-A, 1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 2 Type-C support power delivery",No,29.46 cm (11.6 Inch),1366 x 768 Pixels,"HD, Anti-glare display ( Brightness 220nits, Color gamut NTSC: 45%)",Built-in speaker,Built-in array microphone,Wi-Fi 5 (802.11ac),v5.2,294.6 x 204.9 x 20.0 mm,1.26 Kg,Not Available,"720p HD camera, with privacy shutter",Chiclet Keyboard,Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
493,MSI Sword 15 Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti/144 Hz) Sword 15 A12UD-471IN Gaming Laptop Rs.98390  Price in India - Buy MSI Sword 15 Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti/144 Hz) Sword 15 A12UD-471IN Gaming Laptop White Online - MSI : Flipkart.com,79990,"Laptop, battery, power adapter, user guide",Sword 15 A12UD-471IN,9S7-158423-471,Sword 15 A12UD,Sword 15,White,Gaming Laptop,Gaming,No,Intel,Core i5,Yes,512 GB,16 GB,DDR4,12500H,4.50,NVIDIA GeForce RTX 3050 Ti,Windows 11 Home,"1x Type-C USB 3.2 Gen1, 2x Type-A USB 3.2 Gen1, 1x Type-A USB 2.0",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"FHD, IPS-Level Panel (144 Hz, 45% NTSC)",2x 2W,Yes,Intel Wi-Fi 6 AX201(2*2 ax),v5.2,359 x 259 x 24.9 mm,2.25 Kg,Not Available,HD type (30fps@720p),Single Backlight Keyboard (Blue),Yes,2 Year Carry-In Warranty Term,Carry-In,Part Failure,"Physical Damage, Burn, Liquid Spill"
494,Acer Aspire 7 (2023) Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) A715-76G Gaming Laptop Rs.76999  Price in India - Buy Acer Aspire 7 (2023) Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) A715-76G Gaming Laptop Charcoal Black Online - Acer : Flipkart.com,62990,"Laptop, Power Adaptor, User Guide, Warranty Documents",A715-76G,UN.QMESI.003,A715-76G,Aspire 7 (2023),Charcoal Black,Gaming Laptop,Gaming,No,Intel,Core i5,Yes,512 GB,16 GB,DDR4,12450H,3.3 GHz upto max turbo frequency at 4.4 Ghz,NVIDIA GeForce GTX 1650,Windows 11 Home,"1 x USB 3.2 port with power-off charging, 2 x USB 3.2 port, 1 x USB Type-C port /Thunderbolt 4 port",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD display with IPS (In-Plane Switching) technology, Acer ComfyView LED-backlit TFT LCD",Two built-in stereo speakers,,Intel Wireless Wi-Fi 6E AX211,v5.1,362.3 x 237.4 x 19.9 mm,2.1 Kg,Not Available,T-Type HD camera with 1280 x 720 resolution and 720p HD video at 30 fps with Temporal Noise Reduction,"99-/100-/103-key Acer backlit keyboard with international language support, with indicators of CapsLock and F4/Microphone mute",Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
495,Lenovo IdeaPad Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/120 Hz) 15ACH6 Gaming Laptop Rs.116090  Price in India - Buy Lenovo IdeaPad Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/120 Hz) 15ACH6 Gaming Laptop Black Online - Lenovo : Flipkart.com,69990,"Laptop, Battery, Adapter, Cables, User Manuals",15ACH6,82K20145IN,Gaming 3,IdeaPad,Black,Gaming Laptop,Gaming,No,AMD,Ryzen 7 Octa Core,Yes,512 GB,16 GB,DDR4,5800H,"Base Frequency 3.2 GHz, Max Turbo Boost at 4.4 GHz",NVIDIA GeForce RTX 3050,Windows 11 Home,"2 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (Support Data Transfer Only), 1 x Ethernet (RJ-45)",No,100.63 cm (39.62 cm),1920x1080 Pixels,"Full HD, IPS, 250nits, Anti-glare, 45% NTSC, Refresh Rate: 120 Hz",Built-in 2W Dual Stereo Speakers,Built-in Dual Array Microphone,"Wi-Fi 6, 11ax 2 x 2",v5.1,359.6 x 251.9 x 24.2 mm,2.25 kg,Not Available,HD 720p with Privacy Shutter,"White Backlit, English",Yes,1 Year Carry in Warranty,Carry-In,Manufacturing Defects,Physical Damage
